scenario,modification,result,verify_time_ms,timestamp
2.a,Tampered pi_a[0],REJECTED ✅,66.12,2025-06-28T17:31:40.825Z
2.b,Tampered pi_c[1],REJECTED ✅,166.00,2025-06-28T17:31:40.992Z
2.c,Modified public[0],REJECTED ✅,538.59,2025-06-28T17:31:41.531Z
2.d,Swapped pi_b structure,REJECTED ✅,34.85,2025-06-28T17:31:41.566Z
2.e,Valid Proof,ACCEPTED ❌,393.28,2025-06-28T17:31:41.960Z
